Timestamp,Action,Name,Elapsed Time,Entry Date
2025-03-10 12:59:46,Add Entry,non-attribué,00:00:00,2025-03-10
2025-03-10 12:59:47,Add Entry,Meeting FAE,00:30:25,2025-03-10
2025-03-10 12:59:47,Add Entry,Meeting eng hebdo,00:28:14,2025-03-10
2025-03-10 12:59:47,Add Entry,Diner,00:31:06,2025-03-10
2025-03-10 12:59:47,Add Entry,Ravena CODE,00:00:00,2025-03-10
2025-03-10 13:00:15,Add Entry,Meeting FAE,00:30:25,2025-03-10
2025-03-10 13:00:15,Add Entry,Meeting eng hebdo,00:28:14,2025-03-10
2025-03-10 13:00:15,Add Entry,Diner,00:31:06,2025-03-10
2025-03-10 13:00:15,Add Entry,Ravena CODE,00:00:00,2025-03-10
2025-03-10 13:00:17,Start,Ravena CODE,00:00:00,2025-03-10
2025-03-10 13:01:00,Add Time,Diner,01:01:06,2025-03-10
2025-03-10 13:26:27,Stop,Ravena CODE,00:26:08,2025-03-10
2025-03-10 13:26:27,Start,non-attribué,00:00:00,2025-03-10
2025-03-10 13:35:43,Stop,non-attribué,00:09:15,2025-03-10
2025-03-10 13:35:43,Start,Ravena CODE,00:26:09,2025-03-10
2025-03-10 14:05:35,Stop,Ravena CODE,00:56:01,2025-03-10
2025-03-10 14:05:35,Start,non-attribué,00:09:15,2025-03-10
2025-03-10 14:14:51,Stop,non-attribué,00:18:31,2025-03-10
2025-03-10 14:14:51,Start,Ravena CODE,00:56:01,2025-03-10
2025-03-10 14:34:30,Stop,Ravena CODE,01:15:39,2025-03-10
2025-03-10 14:34:30,Start,non-attribué,00:18:32,2025-03-10
2025-03-10 14:46:18,Stop,non-attribué,00:30:20,2025-03-10
2025-03-10 15:10:54,Start,non-attribué,00:30:20,2025-03-10
2025-03-10 15:10:59,Stop,non-attribué,00:30:24,2025-03-10
2025-03-10 15:10:59,Start,Ravena CODE,01:15:39,2025-03-10
2025-03-10 15:11:43,Stop,Ravena CODE,01:16:22,2025-03-10
2025-03-10 15:12:13,Add Time,non-attribué,00:55:24,2025-03-10
2025-03-10 15:12:18,Start,Ravena CODE,01:16:22,2025-03-10
2025-03-10 15:13:06,Stop,Ravena CODE,01:17:09,2025-03-10
2025-03-10 15:13:25,Start,Ravena CODE,01:17:09,2025-03-10
2025-03-10 15:52:21,Stop,Ravena CODE,01:56:04,2025-03-10
2025-03-10 15:52:45,Start,Ravena CODE,01:56:04,2025-03-10
2025-03-10 16:01:54,Stop,Ravena CODE,02:05:13,2025-03-10
2025-03-10 18:22:29,Start,Ravena CODE,02:05:13,2025-03-10
2025-03-10 18:22:32,Add Entry,,00:00:00,2025-03-10
2025-03-10 18:23:12,Add Time,Meeting Sales Mondiale,00:30:00,2025-03-10
2025-03-10 18:23:36,Add Entry,,00:00:00,2025-03-10
2025-03-10 18:23:42,Add Time,time sheet,00:30:00,2025-03-10
2025-03-10 18:23:48,Add Time,non-attribué,01:25:24,2025-03-10
2025-03-10 18:23:59,Add Entry,,00:00:00,2025-03-10
2025-03-10 18:24:15,Add Time,BT022 - Revue de PCB,00:30:00,2025-03-10
2025-03-10 18:24:16,Add Entry,,00:00:00,2025-03-10
2025-03-10 18:24:32,Add Time,BT023 - Revue de PCB (BMS),00:30:00,2025-03-10
2025-03-10 18:24:58,Add Entry,,00:00:00,2025-03-10
2025-03-10 18:25:09,Add Time,BT019 - FPC Google,00:30:00,2025-03-10
2025-03-10 18:55:32,Stop,Ravena CODE,02:38:15,2025-03-10
